doc,query,num_q_in_choices,q_length,perc_q_in_choices
WTX014-B11-321,462,2,3,0.6666666666666666
WTX014-B31-489,550,0,2,0.0
WTX014-B31-524,550,0,2,0.0
WTX015-B32-32,495,1,4,0.25
WTX016-B14-3,500,2,2,1.0
WTX017-B49-75,502,1,2,0.5
WTX018-B14-145,452,2,4,0.5
WTX018-B20-194,537,1,3,0.3333333333333333
WTX018-B45-20,493,0,1,0.0
WTX019-B40-24,537,1,3,0.3333333333333333
WTX020-B20-176,509,2,2,1.0
WTX020-B20-34,537,1,3,0.3333333333333333
WTX020-B26-197,459,2,3,0.6666666666666666
WTX024-B42-140,525,0,2,0.0
WTX024-B42-140,541,2,3,0.6666666666666666
WTX026-B08-107,507,0,2,0.0
WTX026-B17-307,490,1,3,0.3333333333333333
WTX027-B07-9,525,1,2,0.5
WTX029-B30-527,499,0,2,0.0
WTX032-B12-153,530,2,3,0.6666666666666666
WTX032-B45-230,494,0,1,0.0
WTX033-B18-207,530,2,3,0.6666666666666666
WTX033-B27-117,530,0,3,0.0
WTX035-B22-303,519,3,3,1.0
WTX035-B24-76,495,1,4,0.25
WTX037-B32-293,534,1,4,0.25
WTX038-B09-325,484,0,2,0.0
WTX042-B24-60,549,3,4,0.75
WTX045-B28-110,476,1,2,0.5
WTX046-B34-91,471,2,3,0.6666666666666666
WTX047-B39-305,457,1,2,0.5
WTX049-B50-20,519,3,3,1.0
WTX051-B26-13,454,2,2,1.0
WTX052-B12-194,527,0,4,0.0
WTX053-B35-467,457,1,2,0.5
WTX054-B01-194,454,2,2,1.0
WTX055-B12-189,526,1,1,1.0
WTX055-B20-171,511,1,3,0.3333333333333333
WTX057-B41-159,453,1,1,1.0
WTX059-B09-72,481,0,3,0.0
WTX060-B05-184,548,1,3,0.3333333333333333
WTX064-B48-196,452,0,4,0.0
WTX064-B48-196,451,2,2,1.0
WTX069-B10-201,495,1,4,0.25
WTX072-B20-153,549,2,4,0.5
WTX075-B17-172,503,1,2,0.5
WTX075-B39-322,504,2,3,0.6666666666666666
WTX075-B46-114,524,1,2,0.5
WTX075-B46-126,537,3,3,1.0
WTX076-B01-163,530,3,3,1.0
WTX077-B24-251,494,0,1,0.0
WTX077-B26-141,547,1,2,0.5
WTX078-B32-69,537,0,3,0.0
WTX081-B02-21,454,2,2,1.0
WTX081-B24-154,495,2,4,0.5
WTX082-B28-250,544,1,1,1.0
WTX082-B47-85,517,1,3,0.3333333333333333
WTX086-B44-254,544,0,1,0.0
WTX089-B12-407,475,0,2,0.0
WTX089-B19-268,491,0,2,0.0
WTX089-B35-206,515,0,3,0.0
WTX089-B39-68,483,0,2,0.0
WTX091-B03-478,493,0,1,0.0
WTX091-B17-152,478,1,1,1.0
WTX091-B18-4,493,1,1,1.0
WTX091-B19-93,517,1,3,0.3333333333333333
WTX091-B19-93,477,0,4,0.0
WTX093-B38-193,472,0,3,0.0
WTX093-B38-193,548,1,3,0.3333333333333333
WTX094-B13-165,547,1,2,0.5
WTX095-B05-293,467,2,3,0.6666666666666666
WTX095-B42-140,477,2,4,0.5
WTX097-B15-21,541,2,3,0.6666666666666666
WTX098-B02-3,493,1,1,1.0
WTX098-B38-283,462,2,3,0.6666666666666666
WTX099-B24-354,503,1,2,0.5
WTX100-B38-46,474,0,4,0.0
WTX101-B11-76,480,1,3,0.3333333333333333
WTX102-B11-388,479,1,5,0.2
WTX102-B22-133,547,1,2,0.5
WTX103-B08-129,495,1,4,0.25
