docno,query,baselineScore,expandedScore
AP890426-0210,154,-6.36058513979024,-6.380674223845384
AP890426-0210,192,-5.94203121856652,-6.139132646625456
AP880321-0288,169,-10.02063972499769,-10.465433541383547
LA111190-0027,362,-8.485557807565195,-8.228350323734512
AP890626-0240,160,-9.715465904589044,-9.534599015979914
AP890626-0240,181,-9.996539583874597,-9.380008302159336
FBIS3-48894,357,-9.535371446058532,-7.844989670794731
FBIS3-48894,376,-7.389777950705057,-7.259179118500098
FBIS3-48894,632,-9.214985554390424,-9.137138545856654
WTX007-B23-168,537,-8.745974128733543,-8.873497786253806
FR940505-1-00242,447,-9.6383156554371,-9.536656669925424
AP890202-0029,190,-8.434180004930978,-8.262280324227444
AP880226-0015,200,-7.690637051375918,-8.24914516080525
FBIS3-60778,343,-8.304986815988318,-7.781437629392013
FBIS4-63852,627,-8.49095042438299,-7.702330998751386
AP890127-0050,152,-10.327204934760982,-10.452946190271076
AP891130-0175,189,-9.377208461423994,-9.583418046255796
AP890107-0063,151,-11.988110096383046,-10.243629779641873
FT943-8528,688,-8.316695581105343,-8.169943736050405
FBIS3-7689,389,-8.546107354072179,-8.799570677690998
AP890407-0256,167,-10.160406128338481,-9.735660604815084
AP890407-0256,187,-9.548670067651592,-9.554838743232912
AP891208-0225,169,-10.146622762782904,-10.450502300126402
AP880825-0156,118,-7.509891871962879,-7.646548739685603
AP880825-0156,119,-8.19746442387036,-8.24509153380682
AP880825-0156,120,-8.072275375454069,-8.324488553526606
AP880702-0133,144,-8.030299454304737,-8.218010268661246
FR940525-1-00060,370,-8.071848448108433,-7.309571177405379
FR940525-1-00060,403,-14.239106153619518,-10.266325518967504
FR940525-1-00060,442,-11.138164292797034,-11.08964447825112
LA060590-0046,638,-12.87914915854022,-12.624909582739594
FT923-6521,338,-11.398576405105935,-11.615674657209748
FT923-6521,398,-10.321388869199197,-10.097326827105684
AP890123-0224,144,-7.0186219752195385,-6.916496830289521
AP890608-0152,161,-7.328788047583409,-7.81283950004739
WTX103-B08-129,495,-9.273068087876862,-9.018058278030207
WTX055-B20-171,511,-9.473673419308739,-8.616863886801418
AP880629-0144,125,-8.633499476261077,-8.631394007362282
AP880629-0144,197,-10.225539528962118,-10.099354190414443
AP880629-0144,199,-12.756706043694274,-11.34647175155581
LA071190-0129,313,-12.634921214197227,-10.651545583105559
AP880908-0188,161,-6.818987489308899,-6.807084761304076
AP890803-0059,132,-7.612323119585509,-8.218997670710971
LA122289-0076,440,-9.322539183467407,-9.120001858575336
WTX005-B32-89,502,-10.157350486218576,-9.118862716229179
WTX005-B32-89,549,-8.081912749185028,-7.468758197596192
WTX075-B17-172,503,-9.702321314926813,-9.839397333600528
LA051289-0178,398,-8.704521952373705,-8.735851456244035
WTX089-B35-206,515,-9.754434750769652,-9.688776324396562
AP880325-0237,165,-7.839911322421499,-8.137298820670452
WTX038-B09-325,484,-12.325013292825401,-11.229426893932512
AP880513-0101,101,-7.772504962170529,-7.694151902652841
AP880513-0101,102,-9.039554877898437,-8.869190512960282
AP880513-0101,113,-7.248859166286585,-6.996762268495798
AP880513-0101,114,-8.955631320603194,-8.190144969807921
LA011489-0121,695,-8.550449419227794,-8.441298237468382
FT944-11346,693,-7.744881938957596,-7.295403790635726
WTX069-B10-201,495,-8.054508637332805,-8.697616270602598
AP880528-0031,144,-7.984086611149605,-8.021346717486768
AP891009-0097,124,-10.179576752463134,-9.135459070742089
AP891009-0097,198,-11.004371995910438,-10.502154287207704
AP890512-0173,101,-7.548971629540476,-6.999641594664005
FT942-6494,687,-7.6508057627685435,-7.166623467485473
AP890703-0137,157,-9.324771659768073,-9.563850869963382
AP880917-0104,148,-9.480126346616634,-9.06146282211784
AP880721-0095,125,-7.298981322739294,-7.244791932215264
AP880721-0095,172,-9.919697389449398,-8.985802669421668
AP880721-0095,173,-8.590622234009274,-6.520396777754632
WTX099-B24-354,503,-8.915480983494676,-8.784984297616695
FBIS3-39240,362,-9.40475133274814,-8.6249953636394
FBIS3-39240,401,-8.269345983959312,-8.188110060425013
FBIS3-40185,414,-8.50428430292157,-8.006088813423712
AP890424-0284,195,-10.008235532023013,-9.294347971211998
FT941-10100,450,-6.431628715897155,-6.3240990788141085
GX011-80-1074652,714,-7.4474879196595785,-7.396605365127295
WTX101-B11-76,480,-7.306805446552482,-6.952543120619759
AP890308-0220,158,-8.057765761445303,-7.8207105650558155
WTX016-B14-3,500,-6.2617964800817845,-6.476339544368683
GX010-11-11242343,804,-7.889829206836708,-6.83060278434755
WTX026-B08-107,507,-9.9354469989592,-10.704604366195433
WTX018-B20-194,537,-8.611038920825953,-9.142784826168002
AP880920-0044,166,-8.023850882988551,-8.446769284280725
AP880920-0044,186,-8.595744491912711,-8.19764134444622
AP880920-0044,191,-9.953849162867776,-9.48302415668254
WTX089-B35-206,515,-9.754434750769652,-9.688776324396562
AP890405-0035,153,-7.896961170294841,-7.013885300200254
WTX081-B24-154,495,-7.365564022005735,-8.218411132176904
AP881118-0110,130,-8.631985311084561,-7.706952229045795
AP881118-0110,140,-10.243680508048104,-10.00141232883092
AP890512-0173,101,-7.548971629540476,-6.999641594664005
AP890727-0011,167,-10.112154629785804,-9.791802961134358
WTX012-B01-13,518,-8.709943628703934,-8.403442383482119
FBIS4-53910,331,-6.395243670107726,-6.459244003559198
LA031490-0077,436,-10.654001690275603,-8.123599178080948
WTX075-B46-114,524,-10.21867270597981,-10.081245971828373
LA040789-0040,314,-10.307716598592778,-9.452548220194021
LA040789-0040,641,-8.369511819637976,-7.9903578787282505
FT922-3424,395,-7.310393173138924,-6.951083355903862
FT922-3424,617,-7.072372834448207,-6.892275421806793
AP890414-0086,152,-10.150932966976814,-10.153395120604161
GX004-85-15927668,736,-11.203302782261131,-9.065700807596485
LA122889-0074,331,-8.312997043974367,-8.087023459136987
LA122889-0074,425,-9.900527455982072,-7.1338381492293665
AP880809-0056,163,-9.689013755770134,-9.777673777711703
AP880809-0056,167,-9.827216254826276,-9.844752101496569
AP881123-0283,162,-9.345188979125776,-8.512462675355657
AP891215-0107,152,-10.019060308159956,-9.786556116180646
GX255-80-12989449,734,-10.279900386354374,-9.858865130484592
WTX005-B32-89,502,-10.157350486218576,-9.118862716229179
WTX005-B32-89,549,-8.081912749185028,-7.468758197596192
AP880930-0069,138,-8.792467065920428,-7.774297495036561
AP880225-0196,189,-9.930581679960948,-9.726403717495202
AP890308-0225,155,-9.84952644449921,-9.823463086795066
AP881119-0060,144,-8.072844920349535,-8.301372706984525
AP880827-0141,183,-10.628751688507675,-10.969166964998859
GX012-07-7065390,748,-6.378733864923467,-6.498974658013335
WTX042-B24-60,549,-8.379249203779125,-7.448708060703259
WTX082-B28-250,544,-7.927525576853416,-7.946021086856968
FT924-2507,687,-7.428605846498933,-6.975348952920068
WTX005-B27-138,549,-7.928301557488345,-7.660285529426293
AP890202-0234,176,-8.43826662181235,-8.643622533866164
WTX094-B13-165,547,-13.938838152581768,-11.968969068872621
LA081190-0094,329,-7.207046515336077,-6.800330437707117
AP891104-0005,146,-8.339870438852698,-7.91310202540168
WTX033-B18-207,530,-9.965968749398737,-10.497113153462644
AP881206-0121,137,-9.17827422155817,-8.048939146368259
AP880421-0310,195,-9.92090774559094,-9.311524362788623
FBIS3-22688,428,-8.346340374353996,-7.616915745225111
FBIS3-22688,434,-7.073566382857928,-7.514850624106263
FBIS3-22688,435,-8.837052652278796,-9.039508619303994
FBIS3-22688,445,-9.129178749518307,-8.853245707817377
FBIS3-22688,658,-10.330458756437167,-7.414782220626561
FBIS3-22688,667,-9.307477905646627,-9.04726743169999
FBIS3-22688,688,-9.025622395061605,-8.751623191216844
FBIS3-22688,689,-9.01433859309041,-7.884694467474216
AP880220-0009,181,-10.211509430773896,-10.195548022117338
FT931-4409,389,-9.34989960937746,-9.365036970852898
WTX026-B17-307,490,-9.841424623388237,-9.277180244849635
FT924-4583,400,-8.520773281941745,-8.361469361145936
FT924-4768,357,-10.16994407573984,-9.880953206711613
FT924-4768,659,-8.324707672714888,-8.481079693366539
FT924-4768,696,-9.244412831589306,-9.371187232501345
AP881027-0126,153,-8.031437571495367,-6.953353864912009
WTX091-B03-478,493,-12.225277772841775,-11.803740533777301
WTX027-B07-9,525,-7.263785012601958,-7.359803953930667
AP890925-0191,188,-10.732386259691346,-10.032756838951691
FBIS4-17908,426,-9.53379334626433,-9.634588548644524
GX244-07-12005999,788,-6.766389056898499,-6.367418357171145
AP890107-0088,146,-8.48658063718543,-7.998537407091415
WTX091-B18-4,493,-12.21689427194544,-11.828342603530901
GX056-58-7243426,839,-8.116889405693634,-7.906157414114127
AP881129-0210,145,-9.057680670857412,-8.794475060373992
AP881129-0210,155,-9.496330636080035,-9.034879158503395
LA012490-0048,326,-14.24053366623556,-13.891703908384933
FT921-8098,378,-8.572986638362536,-8.846881595969476
FR940318-0-00101,338,-11.20295411474245,-11.291949496167078
GX002-31-7845435,744,-10.041481969708904,-10.093616770238906
AP891130-0220,187,-9.796024310264695,-9.372841331395795
FT942-768,352,-10.841897076792467,-10.885102631262017
FT942-768,395,-7.1625010389749,-6.89459193304039
FT942-768,438,-7.182167612588202,-7.106919444804129
FR941122-0-00087,407,-11.456555208320541,-10.46426793722346
FR941122-0-00087,426,-8.333764571028846,-8.374448212373556
FR941122-0-00087,428,-9.9801916264663,-9.419856175921602
FR941122-0-00087,435,-8.582210592806794,-8.85684211001599
FR941122-0-00087,606,-11.274654139964841,-10.66929932315222
FR941122-0-00087,644,-9.3313108390714,-9.225428716148441
WTX091-B19-93,477,-9.211291741805729,-9.93120258581336
WTX091-B19-93,517,-7.953604249793984,-8.003264828446724
GX019-34-11505888,716,-9.923783068493414,-9.218662605279052
LA112090-0041,671,-7.946397954748245,-8.060557151309741
AP891223-0097,189,-9.183379156993652,-8.941542332813679
AP890430-0036,108,-9.464319108828176,-8.40843801694065
AP890430-0036,141,-7.584125128228267,-7.385111499691128
LA052189-0013,393,-11.22620102029335,-10.794033663018997
LA052189-0013,635,-11.946788806783372,-11.572153165163709
LA052189-0013,636,-9.460950431110092,-9.481723736592325
LA052189-0013,689,-8.770613201445718,-8.441083106078548
AP880428-0135,148,-10.024576404540522,-9.051039950687791
AP880428-0135,182,-9.846899545426933,-9.752685956303187
AP891219-0099,103,-7.715862752734573,-6.922987404176723
AP891219-0099,185,-7.880431304838361,-7.15815138406051
FBIS4-51781,661,-10.570929810917054,-10.464837214419871
AP890404-0141,137,-9.065473163125073,-8.764690921370446
AP890404-0141,154,-8.842246165110257,-6.845134001051475
AP890404-0141,192,-7.629062643316328,-7.002195601571474
AP880321-0288,169,-10.02063972499769,-10.465433541383547
FT922-13711,407,-12.40798357638911,-12.372776074342829
WTX003-B06-129,550,-10.016269120276746,-7.409629964634478
AP891124-0188,142,-9.146162069654011,-8.279347645467569
AP891124-0188,143,-8.694352321579512,-8.591699459269611
AP880312-0006,142,-9.498697470206322,-8.315896990960209
AP880312-0006,143,-8.690452511627242,-8.01320065116613
FT942-7776,445,-10.850079156081538,-10.308413910273845
AP891208-0058,126,-8.76029134079244,-8.500030496157295
FT941-5245,344,-13.349804766712765,-12.412362582527088
WTX018-B45-20,493,-12.427959314360674,-12.046728953081663
FBIS3-54525,669,-6.779577879879625,-6.13765174131939
AP890505-0258,187,-9.66253822493692,-9.360039771613678
AP891211-0031,144,-7.52061410596224,-7.726942984545642
AP890626-0132,154,-6.988579698092945,-6.683950112747911
GX263-35-6742201,723,-10.21350002763625,-9.839911603485396
AP890211-0142,121,-7.447152522006773,-7.841555945557028
FBIS4-14446,396,-9.181736411241658,-9.057275254231087
LA082989-0016,338,-11.382459285666933,-11.45589777794509
LA082989-0016,436,-10.885070493705026,-9.215735930887472
AP890525-0147,154,-6.826025901677427,-6.478557338702819
AP890525-0147,174,-8.426551364130914,-7.6854651270335745
AP890525-0147,192,-6.725047590831144,-6.371873574940931
FBIS3-60778,343,-8.304986815988318,-7.781437629392013
FT943-12288,352,-10.825716102870258,-10.922390839509188
FT943-12288,375,-9.634247892796502,-8.485246552795617
FT943-12288,681,-7.734966014579081,-6.84474980812315
GX248-61-4740968,767,-7.034392119164397,-7.171700880761197
AP880706-0299,157,-11.714654285538504,-11.228273926830136
LA061390-0077,382,-10.584378630099264,-10.518323408276599
LA061390-0077,407,-11.534821581373166,-11.61832599192355
LA061390-0077,641,-7.803235584368825,-7.682011557295448
LA061390-0077,670,-8.464709313637385,-8.111831743299991
WTX004-B09-278,530,-9.605817838183626,-9.744022968844886
AP891130-0014,101,-8.285048890718421,-8.274671922486348
WTX077-B26-141,547,-11.178659541911653,-11.06901923828095
AP880325-0087,176,-8.388948961916586,-8.48264847278199
FBIS4-10906,354,-10.607811050514945,-9.788511021579346
LA080489-0057,699,-8.156760590914166,-7.852708595527389
GX028-51-7031655,756,-6.883280377743702,-6.364172401239782
AP890128-0016,150,-8.543491504087477,-8.202111283668884
WTX069-B10-201,495,-8.054508637332805,-8.697616270602598
AP891023-0111,193,-9.95007860976461,-10.024779142865377
FT921-12562,309,-8.85771743832153,-9.112479212168667
FT921-12562,411,-14.047457851474606,-13.535238019529391
AP881026-0117,193,-9.066441886411319,-9.407605326131833
FT944-4092,340,-9.775038884361933,-9.27989800983747
FT944-4092,353,-12.313493104972125,-9.884805036429194
FT944-4092,355,-11.474431664601909,-10.382195282241026
FT944-4092,357,-10.426693300006702,-8.459756013444395
FT944-4092,399,-12.613108696208549,-11.725558903689457
LA111789-0141,633,-12.392114196912209,-12.442220079259949
AP880627-0153,142,-8.887246868714234,-8.007712298885767
FT923-437,314,-10.355159734439317,-10.200772763802878
FT923-437,333,-11.09598317293041,-8.670372894823181
FT923-437,381,-7.706607705224927,-7.579981695061667
FT923-437,390,-10.482595861911978,-8.475254196414955
FT923-437,449,-14.009265784801084,-12.03496926595838
LA052190-0103,694,-13.01850470629486,-13.147841155863528
AP881116-0010,159,-9.092895753937885,-9.098924666610127
LA060590-0046,638,-12.87914915854022,-12.624909582739594
AP880916-0032,142,-9.103668866513665,-8.197384052294483
AP880916-0032,179,-9.431665160102437,-8.885281633169114
LA042090-0123,315,-10.571209301260392,-9.816486828800805
LA042090-0123,358,-9.200864595264271,-9.39328788166791
LA042090-0123,634,-10.249153185780008,-10.4055267579926
AP881204-0007,119,-8.684897049882041,-8.543335629087725
WTX075-B46-126,537,-8.911922495716816,-7.324785650333537
AP890719-0025,123,-10.279182113239836,-9.10305309572184
AP890719-0025,163,-6.7227926289522095,-6.348605404569903
AP880421-0166,188,-10.444890493714254,-10.527229620431797
AP880530-0182,194,-8.78921464593187,-8.914205682741123
FT933-7879,331,-6.21635703782348,-6.101306816836921
FR940505-1-00242,447,-9.6383156554371,-9.536656669925424
AP890728-0157,114,-8.257596939968568,-7.343984450622852
AP890419-0139,188,-12.538784370746075,-12.967446816579553
AP890127-0050,152,-10.327204934760982,-10.452946190271076
FT942-4421,307,-7.237996756358996,-7.238636796033592
FT942-4421,331,-7.342562992422754,-7.2205876519807
FT942-4421,647,-10.712862056923578,-10.364574779615292
AP880608-0215,164,-9.06329009269189,-8.715298911691912
GX182-30-10232398,717,-10.330633622894505,-10.164226150866895
AP890202-0227,159,-7.918066596892277,-7.732760988008311
FT944-18682,352,-10.48779697778234,-10.623757099389225
FR940817-2-00019,439,-11.629298515796124,-9.96150786100825
AP890422-0040,154,-9.237732729151329,-6.717649255919732
AP890422-0040,192,-6.582107905816633,-6.179282789146104
AP890406-0119,142,-9.423121063648598,-9.330203356440936
FT934-3952,352,-10.892480899706484,-9.543092618209519
FT934-3952,363,-8.884020900487604,-8.882286723095019
FT934-3952,436,-10.738757402982692,-9.123552229710235
GX007-93-12310235,726,-7.4746830515432805,-7.570923758322889
FT934-3952,352,-10.892480899706484,-9.543092618209519
FT934-3952,363,-8.884020900487604,-8.882286723095019
FT934-3952,436,-10.738757402982692,-9.123552229710235
GX007-93-12310235,726,-7.4746830515432805,-7.570923758322889
FT934-3952,352,-10.892480899706484,-9.543092618209519
FT934-3952,363,-8.884020900487604,-8.882286723095019
FT934-3952,436,-10.738757402982692,-9.123552229710235
GX007-93-12310235,726,-7.4746830515432805,-7.570923758322889
AP880623-0294,174,-7.1926858679799395,-6.956456169501756
FT934-3952,352,-10.892480899706484,-9.543092618209519
FT934-3952,363,-8.884020900487604,-8.882286723095019
FT934-3952,436,-10.738757402982692,-9.123552229710235
GX007-93-12310235,726,-7.4746830515432805,-7.570923758322889
AP880623-0294,174,-7.1926858679799395,-6.956456169501756
WTX018-B20-194,537,-8.611038920825953,-9.142784826168002
WTX026-B08-107,507,-9.9354469989592,-10.704604366195433
GX010-11-11242343,804,-7.889829206836708,-6.83060278434755
WTX016-B14-3,500,-6.2617964800817845,-6.476339544368683
AP890308-0220,158,-8.057765761445303,-7.8207105650558155
WTX101-B11-76,480,-7.306805446552482,-6.952543120619759
GX011-80-1074652,714,-7.4474879196595785,-7.396605365127295
FT941-10100,450,-6.431628715897155,-6.3240990788141085
AP890424-0284,195,-10.008235532023013,-9.294347971211998
FBIS3-40185,414,-8.50428430292157,-8.006088813423712
FBIS3-39240,362,-9.40475133274814,-8.6249953636394
FBIS3-39240,401,-8.269345983959312,-8.188110060425013
WTX099-B24-354,503,-8.915480983494676,-8.784984297616695
AP880721-0095,125,-7.298981322739294,-7.244791932215264
AP880721-0095,172,-9.919697389449398,-8.985802669421668
AP880721-0095,173,-8.590622234009274,-6.520396777754632
AP880917-0104,148,-9.480126346616634,-9.06146282211784
FR940318-0-00101,338,-11.20295411474245,-11.291949496167078
AP880823-0204,162,-11.204383776293906,-9.321988814758555
GX025-50-13449872,751,-12.662744264033321,-11.500948006457785
WTX033-B27-117,530,-12.201148456798443,-12.229654059029372
WTX098-B02-3,493,-12.166217262917508,-11.718366700876851
WTX098-B38-283,462,-7.651587868751802,-7.681009464700605
FT923-12937,321,-10.101638722932766,-10.230937019894245
FT923-12937,351,-9.458594461939319,-8.375140260053424
FT923-12937,357,-9.593153184733223,-8.533786168171533
LA111789-0141,633,-12.392114196912209,-12.442220079259949
LA010590-0075,396,-9.89717688630434,-9.638292137601454
AP890523-0136,166,-11.110385922932371,-9.45307870438816
LA101789-0057,674,-12.314971685881257,-11.196802293535649
AP890729-0052,154,-9.000306976855725,-7.384932935220822
AP890729-0052,192,-7.286121181960496,-6.7884003755517295
AP880914-0112,155,-8.609643549805241,-8.611730145571912
FR940511-0-00062,407,-12.243479862911949,-12.045340217240307
AP880502-0077,130,-8.818976002457793,-7.616079641998935
AP880502-0077,145,-9.034683786014048,-8.927336157461298
FBIS3-48894,357,-9.535371446058532,-7.844989670794731
FBIS3-48894,376,-7.389777950705057,-7.259179118500098
FBIS3-48894,632,-9.214985554390424,-9.137138545856654
AP890518-0144,140,-9.652759672450136,-9.48175282480157
AP891127-0132,148,-10.12834111454794,-9.265436142642667
FT921-8098,378,-8.572986638362536,-8.846881595969476
GX043-24-11458081,741,-6.818253423511199,-6.45660245226856
AP890927-0033,119,-8.51036940920996,-8.457135157195562
AP891108-0155,179,-8.96794822042498,-8.67373606359656
WTX020-B20-176,509,-7.7619426924828545,-8.381897102089384
LA112789-0106,434,-7.581856277794966,-7.614241808726799
FBIS4-51839,379,-16.463294103686668,-16.210114731256887
FBIS4-51839,428,-7.969301477727297,-7.444123037245097
FBIS4-51839,655,-10.285917174352292,-10.398203547775974
FBIS4-51839,658,-12.550631507509333,-11.676599272121956
FBIS4-51839,678,-9.481679735282839,-9.712796855245394
AP891120-0176,139,-7.6533506199020485,-7.203498782272919
WTX018-B20-194,537,-8.611038920825953,-9.142784826168002
