HSOAQ,GX162-40-16201712,716,0,0.0,0.0,0.0,0.0
HSOAQ,GX239-77-15534054,725,1,0.0,0.0,0.0,0.0
SNEBC,GX007-93-12310235,726,1,0.0,0.0,0.0,0.0
BLOPD,GX007-93-12310235,726,1,0.0,0.0,0.0,0.0
HSOAQ,GX005-53-8274005,728,1,0.0,0.0,0.0,0.0
VXDPZ,GX011-80-1074652,714,0,0.2222222222222222,0.5,0.0,0.0
YHZWN,GX007-93-12310235,726,1,0.0,0.0,0.0,0.0
SSPNB,GX007-93-12310235,726,1,0.0,0.0,0.0,0.0
TZUGR,GX007-93-12310235,726,1,0.25,0.3333333333333333,0.25,0.4
UOPBK,GX011-80-1074652,714,0,0.125,0.25,0.0,0.0
VXDPZ,GX182-30-10232398,717,0,0.0,0.0,0.0,0.0
UOPBK,GX047-87-9197196,820,1,0.18181818181818182,0.6666666666666666,0.05263157894736842,0.1
HSOAQ,GX239-77-15534054,725,1,0.125,0.2,0.0,0.0
VXDPZ,GX028-51-7031655,756,1,0.0,0.0,0.0,0.0
HSOAQ,GX244-07-12005999,788,2,0.0,0.0,0.0,0.0
ZMZFP,GX059-58-1690569,726,1,0.25,0.3333333333333333,0.1111111111111111,0.2
ZMZFP,GX041-11-8127547,732,1,0.09090909090909091,0.3333333333333333,0.0,0.0
ZMZFP,GX028-51-7031655,756,1,0.0,0.0,0.0,0.0
ZMZFP,GX045-70-1117628,819,0,0.14285714285714285,0.5,0.0,0.0
ZMZFP,GX008-69-13596389,705,2,0.1,0.25,0.05263157894736842,0.1
HOMFA,GX011-80-1074652,714,0,0.14285714285714285,0.25,0.0,0.0
HOMFA,GX010-11-11242343,804,1,0.2727272727272727,0.75,0.1111111111111111,0.2
UOPBK,GX043-24-11458081,741,1,0.16666666666666666,0.5,0.0,0.0
UOPBK,GX013-29-16065442,749,0,0.14285714285714285,0.3333333333333333,0.0,0.0
UOPBK,GX010-22-12488512,756,2,0.18181818181818182,1.0,0.05263157894736842,0.1
HSOAQ,GX011-80-1074652,714,0,0.08333333333333333,0.25,0.0,0.0
VXDPZ,GX019-34-11505888,716,2,0.0,0.0,0.0,0.0
VXDPZ,GX263-35-6742201,723,0,0.0,0.0,0.0,0.0
VXDPZ,GX248-61-4740968,767,1,0.2857142857142857,0.6666666666666666,0.0,0.0
ZMZFP,GX008-69-13596389,705,2,0.16666666666666666,0.25,0.0,0.0
ZMZFP,GX271-30-5088287,830,0,0.0,0.0,0.0,0.0
ZMZFP,GX039-10-5518006,832,1,0.2,0.6666666666666666,0.0,0.0
KIMCZ,GX095-39-11484782,713,0,0.2222222222222222,0.5,0.17647058823529413,0.3
KIMCZ,GX038-08-1047355,759,0,0.0,0.0,0.0,0.0
KIMCZ,GX039-10-5518006,832,1,0.5,0.6666666666666666,0.0,0.0
LNLKA,GX007-93-12310235,726,1,0.0,0.0,0.0,0.0
ZMZFP,GX004-85-15927668,736,1,0.0,0.0,0.0,0.0
ZMZFP,GX051-11-11608435,757,1,0.0,0.0,0.0,0.0
ZMZFP,GX045-70-1117628,819,0,0.0,0.0,0.0,0.0
ZMZFP,GX039-10-5518006,832,1,0.0,0.0,0.0,0.0
HOMFA,GX007-93-12310235,726,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.2
HOMFA,GX005-66-14275144,775,1,0.0,0.0,0.0,0.0
HOMFA,GX248-12-6205349,789,1,0.3333333333333333,1.0,0.17647058823529413,0.3
HOMFA,GX244-55-7689023,796,0,0.0,0.0,0.0,0.0
HOMFA,GX268-52-2344040,706,0,0.0,0.0,0.0,0.0
HOMFA,GX002-31-7845435,744,0,0.0,0.0,0.0,0.0
HOMFA,GX005-66-14275144,775,1,0.1,0.3333333333333333,0.0,0.0
UOPBK,GX051-11-11608435,757,1,0.0,0.0,0.0,0.0
UOPBK,GX248-12-6205349,789,1,0.25,0.3333333333333333,0.1111111111111111,0.2
UOPBK,GX099-91-1066558,843,0,0.0,0.0,0.0,0.0
KIMCZ,GX095-39-11484782,713,0,0.0,0.0,0.0,0.0
HYEAM,GX007-93-12310235,726,1,0.0,0.0,0.0,0.0
DDSCR,GX043-24-11458081,741,1,0.2222222222222222,1.0,0.0,0.0
ZMZFP,GX010-11-11242343,804,1,0.2,0.5,0.0,0.0
UOPBK,GX000-41-7085133,712,0,0.0,0.0,0.0,0.0
UOPBK,GX248-61-4740968,767,1,0.18181818181818182,0.6666666666666666,0.05263157894736842,0.1
UOPBK,GX248-12-6205349,789,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.2
HOMFA,GX255-80-12989449,734,1,0.0,0.0,0.0,0.0
HOMFA,GX002-31-7845435,744,0,0.0,0.0,0.0,0.0
HOMFA,GX249-32-15302501,794,0,0.0,0.0,0.0,0.0
VXDPZ,GX244-07-12005999,788,2,0.0,0.0,0.0,0.0
ZJDLX,GX244-55-7689023,796,0,0.0,0.0,0.0,0.0
HSOAQ,GX010-11-11242343,804,1,0.2222222222222222,0.5,0.1111111111111111,0.2
VXDPZ,GX056-58-7243426,839,0,0.0,0.0,0.1111111111111111,0.2
KIMCZ,GX011-80-1074652,714,0,0.16666666666666666,0.5,0.0,0.0
KIMCZ,GX269-69-7323852,717,1,0.18181818181818182,0.5,0.1111111111111111,0.2
KIMCZ,GX010-11-11242343,804,1,0.0,0.0,0.0,0.0
UOPBK,GX241-06-4201661,736,1,0.08333333333333333,0.3333333333333333,0.0,0.0
UOPBK,GX038-08-1047355,759,0,0.0,0.0,0.0,0.0
