doc,query,pq_q_recall,pq_q_ap,q_weight_perc
AP890324-0215,197,0.0,0.0,0.0
AP880604-0024,142,0.0,0.0,0.0
AP880604-0024,143,0.0,0.0,0.0
AP881124-0125,110,0.5,0.42407407407407405,0.4090909090909091
AP890428-0011,143,0.0,0.0,0.0
GX007-93-12310235,726,0.0,0.0,0.0
GX009-91-3983369,718,0.6666666666666666,0.6666666666666666,0.56
GX011-80-1074652,714,0.5,0.5,0.40540540540540543
GX010-11-11242343,804,0.5,0.5555555555555555,0.3114754098360656
GX244-55-7689023,796,0.6,0.19,0.2542372881355932
GX058-10-5669493,791,0.25,0.041666666666666664,0.08333333333333333
GX037-41-11641254,720,0.6666666666666666,0.6666666666666666,0.3125
GX244-07-12005999,788,1.0,0.5833333333333333,0.3116883116883117
GX239-77-15534054,725,0.4,0.08333333333333333,0.1323529411764706
GX162-40-16201712,716,0.0,0.0,0.0
GX005-53-8274005,728,0.3333333333333333,0.1,0.11009174311926606
GX004-85-15927668,736,0.0,0.0,0.0
GX255-80-12989449,734,0.5,0.25,0.13636363636363635
GX012-07-7065390,748,0.6666666666666666,0.6666666666666666,0.3473684210526316
GX056-58-7243426,839,0.6666666666666666,0.17777777777777778,0.25
GX002-31-7845435,744,0.0,0.0,0.0
GX019-34-11505888,716,0.0,0.0,0.0
GX263-35-6742201,723,0.0,0.0,0.0
GX248-61-4740968,767,0.6666666666666666,0.14074074074074075,0.1282051282051282
GX028-51-7031655,756,0.5,0.08333333333333333,0.12
GX182-30-10232398,717,0.25,0.25,0.125
GX025-50-13449872,751,0.5,0.25,0.17647058823529413
GX043-24-11458081,741,0.5,0.05555555555555555,0.08108108108108109
GX047-87-9197196,820,0.6666666666666666,0.15079365079365079,0.14814814814814814
GX099-91-1066558,843,0.0,0.0,0.0
GX051-11-11608435,757,1.0,0.1111111111111111,0.06976744186046512
GX248-12-6205349,789,1.0,0.4761904761904762,0.35678391959798994
GX000-41-7085133,712,0.5,0.125,0.10638297872340426
GX238-51-14158726,712,1.0,0.7,0.28378378378378377
GX010-22-12488512,756,0.5,0.5,0.17777777777777778
GX013-29-16065442,749,1.0,0.8333333333333334,0.3877551020408163
GX039-61-13743625,756,0.5,0.05,0.08333333333333333
GX038-08-1047355,759,0.0,0.0,0.0
GX241-06-4201661,736,0.3333333333333333,0.1111111111111111,0.11320754716981132
GX269-69-7323852,717,0.25,0.041666666666666664,0.0967741935483871
GX028-26-7874309,824,1.0,0.5888888888888889,0.3582089552238806
GX039-10-5518006,832,1.0,0.5694444444444444,0.34523809523809523
GX095-39-11484782,713,0.25,0.25,0.2
GX012-70-1701308,701,0.25,0.041666666666666664,0.06666666666666667
GX059-58-1690569,726,0.0,0.0,0.0
GX041-11-8127547,732,0.6666666666666666,0.35,0.19444444444444445
GX045-70-1117628,819,0.5,0.25,0.15384615384615385
GX271-30-5088287,830,0.5,0.08333333333333333,0.07272727272727272
GX008-69-13596389,705,0.5,0.3333333333333333,0.28125
GX062-64-5997432,770,0.0,0.0,0.0
GX181-71-0463042,799,0.0,0.0,0.0
GX237-83-3259184,754,0.3333333333333333,0.1111111111111111,0.09230769230769231
GX249-32-15302501,794,0.0,0.0,0.0
GX268-52-2344040,706,0.25,0.027777777777777776,0.072
GX005-66-14275144,775,0.3333333333333333,0.06666666666666667,0.10144927536231885
GX042-57-4197908,824,0.6666666666666666,0.4666666666666666,0.2948717948717949
GX253-15-11384719,710,0.6666666666666666,0.3,0.2087912087912088
FT934-3952,352,0.0,0.0,0.0
FT934-3952,363,0.3333333333333333,0.3333333333333333,0.32432432432432434
FT934-3952,436,0.0,0.0,0.0
FBIS3-39240,362,0.0,0.0,0.0
FBIS3-39240,401,0.3333333333333333,0.06666666666666667,0.1
FBIS3-40185,414,0.3333333333333333,0.3333333333333333,0.25
FT941-10100,450,0.6666666666666666,0.5,0.25
FT931-4409,389,0.0,0.0,0.0
LA010189-0141,436,0.0,0.0,0.0
FR940318-0-00101,338,0.0,0.0,0.0
LA060889-0033,637,0.0,0.0,0.0
FT934-5147,332,0.3333333333333333,0.16666666666666666,0.15584415584415584
FBIS3-41598,357,0.0,0.0,0.0
FR940217-2-00013,304,0.3333333333333333,0.16666666666666666,0.14754098360655737
FR940217-2-00013,314,0.5,0.5,0.21311475409836064
FR940217-2-00013,355,0.0,0.0,0.0
FR940217-2-00013,399,0.0,0.0,0.0
FR940217-2-00013,439,0.0,0.0,0.0
FBIS3-22836,389,0.3333333333333333,0.037037037037037035,0.08163265306122448
FBIS3-22836,376,0.0,0.0,0.0
LA100690-0107,350,0.25,0.05555555555555555,0.09259259259259259
FT923-8257,321,0.0,0.0,0.0
FT923-8257,356,0.3333333333333333,0.03333333333333333,0.06666666666666667
LA050290-0059,333,0.3333333333333333,0.041666666666666664,0.06382978723404255
LA050290-0059,370,0.3333333333333333,0.16666666666666666,0.19148936170212766
LA050290-0059,427,0.0,0.0,0.0
FBIS3-33282,354,0.0,0.0,0.0
FBIS3-33282,446,0.5,0.1,0.125
FT942-768,352,0.0,0.0,0.0
FT942-768,438,0.0,0.0,0.0
FT942-768,395,0.0,0.0,0.0
FR940111-2-00031,366,0.0,0.0,0.0
LA061390-0077,407,0.0,0.0,0.0
LA061390-0077,641,0.0,0.0,0.0
LA061390-0077,382,0.0,0.0,0.0
LA061390-0077,670,0.0,0.0,0.0
FT931-11616,621,0.2,0.08333333333333333,0.13333333333333333
FT931-11616,445,0.5,0.25,0.2
FT931-11616,318,0.0,0.0,0.0
LA111190-0027,362,0.0,0.0,0.0
FBIS3-48894,376,0.0,0.0,0.0
FBIS3-48894,357,0.0,0.0,0.0
FBIS3-48894,632,0.0,0.0,0.0
FR940505-1-00242,447,0.5,0.1,0.09523809523809523
FBIS3-60778,343,0.5,0.125,0.11206896551724138
FBIS4-63852,627,0.0,0.0,0.0
FT943-8528,688,0.0,0.0,0.0
FBIS3-7689,389,0.0,0.0,0.0
FR940525-1-00060,403,0.0,0.0,0.0
FR940525-1-00060,370,0.3333333333333333,0.037037037037037035,0.0625
FR940525-1-00060,442,0.0,0.0,0.0
LA060590-0046,638,0.0,0.0,0.0
FT923-6521,398,0.0,0.0,0.0
FT923-6521,338,0.0,0.0,0.0
LA071190-0129,313,0.0,0.0,0.0
LA122289-0076,440,0.0,0.0,0.0
LA051289-0178,398,0.0,0.0,0.0
LA011489-0121,695,0.0,0.0,0.0
FT944-11346,693,0.3333333333333333,0.047619047619047616,0.09803921568627451
FT942-6494,687,0.3333333333333333,0.03333333333333333,0.07692307692307693
FBIS4-53910,331,0.3333333333333333,0.06666666666666667,0.08235294117647059
LA031490-0077,436,0.0,0.0,0.0
LA040789-0040,641,0.0,0.0,0.0
LA040789-0040,314,0.0,0.0,0.0
FT922-3424,617,0.3333333333333333,0.3333333333333333,0.22580645161290322
FT922-3424,395,0.0,0.0,0.0
LA122889-0074,425,0.5,0.5,0.16666666666666666
LA122889-0074,331,0.0,0.0,0.0
FT924-2507,687,0.6666666666666666,0.24074074074074073,0.25
LA081190-0094,329,0.6666666666666666,0.19444444444444442,0.2159090909090909
FBIS3-22688,428,0.3333333333333333,0.1111111111111111,0.11702127659574468
FBIS3-22688,658,0.0,0.0,0.0
FBIS3-22688,435,0.0,0.0,0.0
FBIS3-22688,434,0.5,0.08333333333333333,0.09574468085106383
FBIS3-22688,688,0.0,0.0,0.0
FBIS3-22688,689,0.0,0.0,0.0
FBIS3-22688,445,0.5,0.5,0.2127659574468085
FBIS3-22688,667,0.0,0.0,0.0
FT924-4583,400,0.0,0.0,0.0
FT924-4768,696,0.3333333333333333,0.3333333333333333,0.18181818181818182
FT924-4768,357,0.0,0.0,0.0
FT924-4768,659,0.3333333333333333,0.3333333333333333,0.18181818181818182
FBIS4-17908,426,0.0,0.0,0.0
LA012490-0048,326,0.5,0.5,0.23684210526315788
FT921-8098,378,0.5,0.5,0.2
FR941122-0-00087,428,0.0,0.0,0.0
FR941122-0-00087,435,0.3333333333333333,0.06666666666666667,0.10526315789473684
FR941122-0-00087,407,0.0,0.0,0.0
FR941122-0-00087,426,0.0,0.0,0.0
FR941122-0-00087,644,0.3333333333333333,0.03333333333333333,0.06578947368421052
FR941122-0-00087,606,0.0,0.0,0.0
LA112090-0041,671,0.0,0.0,0.0
LA052189-0013,636,0.0,0.0,0.0
LA052189-0013,689,0.0,0.0,0.0
LA052189-0013,635,0.0,0.0,0.0
LA052189-0013,393,0.0,0.0,0.0
FBIS4-51781,661,0.3333333333333333,0.047619047619047616,0.078125
FT922-13711,407,0.0,0.0,0.0
FT942-7776,445,0.0,0.0,0.0
FT941-5245,344,0.0,0.0,0.0
FBIS3-54525,669,0.5,0.5,0.1388888888888889
FBIS4-14446,396,0.3333333333333333,0.041666666666666664,0.06896551724137931
LA082989-0016,436,0.0,0.0,0.0
LA082989-0016,338,0.0,0.0,0.0
FT943-12288,352,0.0,0.0,0.0
FT943-12288,681,0.6666666666666666,0.2222222222222222,0.23809523809523808
FT943-12288,375,0.0,0.0,0.0
FBIS4-10906,354,0.5,0.0625,0.07692307692307693
LA080489-0057,699,0.0,0.0,0.0
FT921-12562,309,0.0,0.0,0.0
FT921-12562,411,0.0,0.0,0.0
FT944-4092,340,0.3333333333333333,0.1111111111111111,0.12
FT944-4092,357,0.0,0.0,0.0
FT944-4092,355,0.0,0.0,0.0
FT944-4092,399,0.0,0.0,0.0
FT944-4092,353,0.0,0.0,0.0
LA111789-0141,633,0.0,0.0,0.0
FT923-437,314,0.0,0.0,0.0
FT923-437,390,0.5,0.5,0.17647058823529413
FT923-437,449,0.0,0.0,0.0
FT923-437,333,0.0,0.0,0.0
FT923-437,381,0.5,0.25,0.11764705882352941
LA052190-0103,694,0.0,0.0,0.0
LA042090-0123,634,0.0,0.0,0.0
LA042090-0123,358,0.0,0.0,0.0
LA042090-0123,315,0.0,0.0,0.0
FT933-7879,331,0.6666666666666666,0.6666666666666666,0.4
FT942-4421,307,0.3333333333333333,0.16666666666666666,0.14942528735632185
FT942-4421,647,0.0,0.0,0.0
FT942-4421,331,0.6666666666666666,0.17857142857142858,0.1724137931034483
FT944-18682,352,0.0,0.0,0.0
